"order";"id";"TRANSECT NAME";"OBSRVR";"COUNTY";"DATE";"TIME START";"TIME FINISH";"START CORNER";"MOVEMENT DIRECTION FROM START";"START FROM SE-CORNER CLOCKWISE";"DISTANCE COVERED";"ACTUAL TRANSECT LENGTH";"COUNT_YEAR";"DATE DIFFERENCE TO LAST COUNT (+/- DAYS)";"YEARS FROM LAST COUNT";"SAME OBSERVER THAN LAST TIME?";"Imetajad loetud y/n";"INFO1";"INFO2";"ATLAS_SQUARE";"I";"SELGITUSTÖÖ"
"1";"3661";"Kärla Käesla";"Margus Ellermaa";"Saare";"2000-05-25";"03:30";"08:15";"NE";"W-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"2";"3662";"Lümanda Lümanda";"Aivo Klein";"Saare";"2000-05-25";"03:20";"08:25";"SW";"NE-sse";"N.A.";"5,00";"5,40";"2000";;;;"n";"loendati 5.0 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"3";"3663";"Kaarma Tõrise";"Margus Ellermaa";"Saare";"2000-05-26";"03:30";"07:57";"E";"S-i";"N.A.";"5,50";"6,10";"2000";;;;"n";"2000 loeti 5.50 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"4";"3664";"Leisi Luulupe";"Aivo Klein";"Saare";"2000-05-26";"03:40";"09:00";"N";"S-i";"N.A.";"5,00";"5,60";"2000";;;;"n";"2000 loeti 5.0 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"5";"3667";"Halinga Sõõrike";"Margus Ellermaa";"Pärnu";"2000-05-28";"03:20";"08:42";"SW";"NE-sse";"N.A.";"6,80";"6,70";"2000";;;;"n";"2000 loeti 6.8 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"6";"3668";"Halinga Maima";"Aivo Klein";"Pärnu";"2000-05-28";"03:16";"07:40";"W";"SE-sse";"N.A.";"5,50";"5,90";"2000";;;;"n";"2000 loeti 5.5 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"7";"3669";"Raikküla Lipametsa";"Margus Ellermaa";"Rapla";"2000-05-29";"03:19";"08:30";"WNW";"NE-sse";"N.A.";"5,60";"5,60";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"8";"3670";"Raikküla Raikküla";"Aivo Klein";"Rapla";"2000-05-29";"03:31";"08:05";"NE";"S-i";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"9";"3671";"Häädemeeste Tolkuse";"Aivo Klein";"Pärnu";"2000-05-30";"04:09";"08:00";"E";"W-sse";"N.A.";"5,05";"5,05";"2000";;;;"n";"Algust nihutati vihma pärast päikesetõusut tunniga hilisemaks.";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"10";"3672";"Häädemeeste Aruküla";"Margus Ellermaa";"Pärnu";"2000-05-30";"04:24";"09:08";"W";"SE-sse";"N.A.";"5,30";"5,30";"2000";;;;"n";"Algust nihutati vihma pärast päikesetõusut tunniga hilisemaks.";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"11";"3673";"Saarde Kärsu";"Aivo Klein";"Pärnu";"2000-05-31";"03:20";"08:30";"S";"E-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"12";"3674";"Saarde Oissaare";"Margus Ellermaa";"Pärnu";"2000-05-31";"03:28";"08:04";"E";"NE-sse";"N.A.";"5,00";"5,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"13";"3675";"Halliste Päidre";"Margus Ellermaa";"Viljandi";"2000-06-01";"03:23";"08:20";"SE";"N-i";"N.A.";"5,20";"5,20";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"14";"3676";"Paistu Sultsi";"Aivo Klein";"Viljandi";"2000-06-01";"03:10";"08:00";"W";"E-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"15";"3677";"Rannu Sangla";"Margus Ellermaa";"Tartu";"2000-06-02";"03:26";"07:00";"E";"NW-sse";"N.A.";"5,00";"5,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"16";"3678";"Rannu Rannu";"Aivo Klein";"Tartu";"2000-06-02";"03:10";"07:20";"NW";"SE-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"17";"3679";"Põlva Saarjärve";"Margus Ellermaa";"Põlva";"2000-06-04";"03:12";"07:19";"SE";"W-sse";"N.A.";"5,20";"5,20";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"18";"3680";"Põlva Peri";"Aivo Klein";"Põlva";"2000-06-04";"03:02";"07:35";"NE";"S-i";"N.A.";"5,20";"5,20";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"19";"3681";"Haanja Uue-Saaluse";"Margus Ellermaa";"Võru";"2000-06-05";"03:02";"08:33";"S";"NW-sse";"N.A.";"5,70";"5,70";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"20";"3682";"Haanja Mallika";"Aivo Klein";"Võru";"2000-06-05";"03:10";"08:15";"N";"E-sse";"N.A.";"5,50";"5,50";"2000";;;;"n";"Marsruudile on paisutatud väike järv pärast 1. loendust.";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"21";"3683";"Mäksa Sarakuste";"Margus Ellermaa";"Tartu";"2000-06-06";"03:14";"07:40";"W";"NE-sse";"N.A.";"5,00";"5,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"22";"3684";"Tartu Tartu";"Aivo Klein";"Tartu";"2000-06-06";"03:02";"07:45";"SE";"NW-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"23";"3685";"Oisu Taikse";"Margus Ellermaa";"Järva";"2000-06-07";"03:09";"07:33";"E";"SW-sse";"N.A.";"5,75";"5,75";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"24";"3686";"Oisu Raukla";"Aivo Klein";"Järva";"2000-06-07";"03:40";"07:15";"SW";"NE-sse";"N.A.";"5,50";"5,50";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"25";"3687";"Jõgeva Viruvere";"Margus Ellermaa";"Jõgeva";"2000-06-08";"03:30";"08:50";"N";"SE-sse";"N.A.";"5,50";"5,80";"2000";;;;"n";"2000 loeti 5.5 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"26";"3688";"Rakke Villakvere";"Aivo Klein";"Lääne-Viru / Jõgeva";"2000-06-08";"03:45";"03:30";"N";"E-sse";"N.A.";"5,00";"5,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"27";"3689";"Tudulinna Roostoja";"Margus Ellermaa";"Ida-Viru";"2000-06-10";"03:02";"07:15";"N";"S-i";"N.A.";"5,00";"5,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"28";"3690";"Tudulinna Muraka";"Aivo Klein";"Ida-Viru";"2000-06-10";"03:10";"08:10";"SE";"N-i";"N.A.";"5,80";"5,80";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"29";"3691";"Ambla Roosna";"Margus Ellermaa";"Järva";"2000-06-11";"03:18";"07:50";"S";"NW-sse";"N.A.";"5,80";"5,80";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"30";"3692";"Tamsalu Põdrangu";"Aivo Klein";"Lääne-Viru";"2000-06-11";"03:01";"07:30";"E";"W-sse";"N.A.";"5,40";"5,40";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"31";"3693";"Anija Änni";"Margus Ellermaa";"Harju";"2000-06-12";"03:20";"08:18";"SW";"SE-sse";"N.A.";"5,20";"5,10";"2000";;;;"n";"2000 loeti 5.2 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"32";"3694";"Aegviidu Nelijärve";"Aivo Klein";"Harju / Lääne-Viru";"2000-06-12";"03:18";"08:10";"N";"S-i";"N.A.";"5,00";"5,30";"2000";;;;"n";"2000 loeti 5.0 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"33";"3695";"Kernu Laitse";"Margus Ellermaa";"Harju";"2000-06-13";"03:16";"07:45";"W";"S-i";"N.A.";"6,30";"6,30";"2000";;;;"n";"2000. aasta transekt oli märgitud ekslikult 5.3 km pikkuseks, tegelt 6.3 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"34";"3696";"Nissi Munalaskme";"Aivo Klein";"Harju";"2000-06-13";"03:06";"08:10";"N";"SW-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"35";"3697";"Väätsa Piiumetsa";"Margus Ellermaa";"Järva";"2000-06-14";"03:15";"07:38";"S";"NE-sse";"N.A.";"6,00";"6,00";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"36";"3698";"Väätsa Roovere";"Aivo Klein";"Järva";"2000-06-14";"03:25";"08:35";"W";"E-sse";"N.A.";"5,50";"5,50";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"37";"3699";"Noarootsi Nõmmküla";"Margus Ellermaa";"Lääne";"2000-06-15";"03:06";"07:23";"NW";"NE-sse";"N.A.";"5,20";"5,20";"2000";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"38";"3700";"Oru Saunja";"Aivo Klein";"Lääne";"2000-06-15";"03:00";"07:40";"N";"S-i";"N.A.";"5,50";"5,30";"2000";;;;"n";"1. korral pikkus 5.5 km.";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"39";"3808";"Suure-Jaani Änge";"Aivo Klein";"Viljandi";"2001-05-25";"03:30";"08:10";"N";"S-i";"N.A.";"5,50";"5,50";"2001";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"40";"3907";"Suure-Jaani Lahmuse";"Margus Ellermaa";"Viljandi";"2001-05-25";"03:31";"08:24";"N";"S-i";"N.A.";"5,50";"5,50";"2001";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"41";"3809";"Helme Patküla";"Margus Ellermaa";"Valga";"2001-05-26";"03:32";"08:17";"NE";"SW-sse";"N.A.";"6,00";"6,00";"2001";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"42";"3810";"Helme Tõrva";"Aivo Klein";"Valga";"2001-05-26";"03:30";"03:32";"S";"N-i";"N.A.";"5,00";"5,60";"2001";;;;"n";"2001 loendati 5,0 km";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"43";"3811";"Tõlliste Iigaste";"Margus Ellermaa";"Valga";"2001-05-27";"03:34";"08:30";"SW";"E-sse";"N.A.";"5,20";"5,10";"2001";;;;"n";"2001 loendati 100m rohkem";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"44";"3812";"Karula Väheru";"Aivo Klein";"Valga";"2001-05-27";"03:40";"08:25";"N";"S-i";"N.A.";"5,35";"5,35";"2001";;;;"n";"Marsruudi algus ja lõpp väga kaugel teineteisest.";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"45";"3813";"Kõlleste Krüüdneri";"Margus Ellermaa";"Tartu ja Põlva";"2001-05-28";"03:31";"08:33";"N";"E-sse";"N.A.";"5,10";"5,30";"2001";;;;"n";"Viimased 200m jäi esimesel korral lugemata";"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
"46";"3814";"Kambja Raaniste";"Aivo Klein";"Tartu ja Põlva";"2001-05-28";"03:15";"08:25";"N";"S-i";"N.A.";"5,40";"5,40";"2001";;;;"n";;"Kellaajad on talveajad sest kelli ei tollal keeratud. Analyysides tasuks teiseldada UTC-ajaks.";;"I";
