"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"1";"2";"COLPAL";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,10198";"58,05108";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"2";"2";"CUCCAN";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,10366";"58,04914";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"3";"2";"COLPAL";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,10541";"58,05024";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"4";"2";"SYLBOR";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11653";"58,05103";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"5";"2";"TURMER";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11629";"58,05124";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"6";"2";"HIPICT";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11697";"58,05134";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"7";"2";"TURPHI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"22,11625";"58,05180";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"8";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11379";"58,05051";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"9";"2";"REGREG";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11381";"58,05121";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"10";"2";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11351";"58,05121";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"11";"2";"PERATE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11321";"58,05117";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"12";"2";"SYLBOR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"22,11237";"58,05125";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
"13";"2";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"22,11215";"58,05101";"2022";"2022-06-09";"Mati Martinson";"Lõopõllu";"Saare"
