"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"1";"3809";"ORIORI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,87907";"57,98445";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"2";"3809";"TURMER";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88029";"57,98442";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"3";"3809";"BUTBUT";"1";"ü";"3";TRUE;TRUE;;"v";"1";;"25,88095";"57,98591";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"4";"3809";"PHYLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,87619";"57,98607";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"5";"3809";"SYLBOR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,87738";"57,98712";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"6";"3809";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,87956";"57,98626";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"7";"3809";"CUCCAN";"1";"s";"3";FALSE;TRUE;;"l";"1";;"25,87620";"57,98646";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"8";"3809";"GRUGRU";"1";"s";"3";FALSE;TRUE;;"l";"1";;"25,87699";"57,98685";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"9";"3809";"OENOEN";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88181";"57,98698";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"10";"3809";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88233";"57,98660";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"11";"3809";"ALAARV";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,87948";"57,98754";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"12";"3809";"ANTTRI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,87620";"57,98878";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"13";"3809";"ALAARV";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,88002";"57,98835";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"14";"3809";"CURCOM";"2";"p";"1";TRUE;TRUE;;"v";"1";"paar";"25,88321";"57,98834";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"15";"3809";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88262";"57,98923";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"16";"3809";"LINCAN";"2";"p";"1";TRUE;TRUE;;"P";"1";"paar";"25,88349";"57,98842";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"17";"3809";"PASMON";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,88414";"57,98826";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"18";"3809";"MUSSTR";"1";"h";"1";TRUE;TRUE;;"v";"1";;"25,88508";"57,98857";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"19";"3809";"LINCAN";"1";"p";"1";TRUE;TRUE;;"v";"1";;"25,88586";"57,98840";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"20";"3809";"CHLCHL";"1";"p";"1";TRUE;TRUE;;"PP";"1";"5 pp";"25,88527";"57,98848";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"21";"3809";"CORNIX";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,88564";"57,98849";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"22";"3809";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,88571";"57,98818";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"23";"3809";"MOTALB";"1";"h";"2";TRUE;TRUE;;"v";"1";;"25,88516";"57,98815";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"24";"3809";"HIRRUS";"4";"p";"2";TRUE;TRUE;;"P";"2";;"25,88528";"57,98810";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"25";"3809";"APUAPU";"4";"p";"2";TRUE;TRUE;;"P";"2";;"25,88399";"57,98802";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"26";"3809";"STUVUL";"5";"p";"2";TRUE;TRUE;;"PP";"2";;"25,88427";"57,98803";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"27";"3809";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,88457";"57,98808";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"28";"3809";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88431";"57,98980";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"29";"3809";"ALAARV";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88573";"57,98924";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"30";"3809";"EMBCIT";"1";"s";"3";TRUE;TRUE;;"l";"1";;"25,88488";"57,98781";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"31";"3809";"STEHIR";"1";"p";"2";TRUE;TRUE;;"0";"0";"toitekylaline kaugelt";"25,88520";"57,98807";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"32";"3809";"MUSSTR";"1";"h";"3";TRUE;TRUE;;"v";"1";;"25,89820";"57,99723";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"33";"3809";"HIPICT";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,89786";"57,99745";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"34";"3809";"DELURB";"1";"h";"1";TRUE;TRUE;;"v";"1";;"25,89727";"57,99725";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"35";"3809";"STUVUL";"1";"p";"1";TRUE;TRUE;;"v";"1";;"25,89693";"57,99737";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"36";"3809";"HIPICT";"1";"s";"2";TRUE;TRUE;;"l";"1";;"25,89664";"57,99769";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
"37";"3809";"CHLCHL";"1";"s";"1";TRUE;TRUE;;"l";"1";;"25,89708";"57,99781";"2022";"2022-05-26";"Margus Ellermaa";"Helme Patküla";"Valga maakond"
